iter	Logloss
0	0.6840522967
1	0.6763445507
2	0.6683119451
3	0.6616467555
4	0.6517176356
5	0.6450030075
6	0.63689098
7	0.6276384727
8	0.6196199434
9	0.6120249597
10	0.6050833191
11	0.5966424647
12	0.5888353458
13	0.5825288902
14	0.5758250959
15	0.5694463136
16	0.564164638
17	0.5587468922
18	0.5523477013
19	0.5464987041
20	0.5409133023
21	0.5324380394
22	0.526285049
23	0.5212522442
24	0.5161639736
25	0.5105283324
26	0.5063890056
27	0.5019621652
28	0.4959352887
29	0.4910187939
30	0.4866574137
31	0.4817390879
32	0.4765980601
33	0.4724543846
34	0.4666043193
35	0.4626097221
36	0.4589385349
37	0.4559097425
38	0.4527828361
39	0.4479451148
40	0.4446459748
41	0.4409583844
42	0.4373688698
43	0.4340976535
44	0.4320377939
45	0.4285311726
46	0.4245077364
47	0.4205845503
48	0.4173174538
49	0.4135834767
50	0.4111052975
51	0.4078451819
52	0.4049485687
53	0.401963035
54	0.3997003861
55	0.3970454339
56	0.3949154984
57	0.391634402
58	0.3895611909
59	0.3872500573
60	0.3852563445
61	0.3835054372
62	0.3809069425
63	0.3790601718
64	0.3771131891
65	0.374957695
66	0.3718115244
67	0.3692192477
68	0.3674241661
69	0.3655442457
70	0.3633127248
71	0.3605128523
72	0.3587404301
73	0.3552600539
74	0.3523944924
75	0.3502493743
76	0.3489572605
77	0.3453481002
78	0.3439784335
79	0.342105227
80	0.3404424773
81	0.3390964236
82	0.3373071786
83	0.3355978514
84	0.3337535603
85	0.3310328808
86	0.3296979279
87	0.3269284204
88	0.3255152281
89	0.3237035526
90	0.3219365473
91	0.3203679442
92	0.3183667165
93	0.31673025
94	0.3152427856
95	0.3138385006
96	0.3123431206
97	0.3113117794
98	0.3101920326
99	0.3089793597
100	0.3065478915
101	0.305559828
102	0.304153731
103	0.3028546744
104	0.3017924723
105	0.3005801809
106	0.2992339365
107	0.2981346556
108	0.2967885447
109	0.2957327131
110	0.2941284045
111	0.2931144392
112	0.2918347613
113	0.2911762493
114	0.2893246721
115	0.2880996016
116	0.2866900523
117	0.2857411466
118	0.2848692215
119	0.283484277
120	0.2826574607
121	0.2816450213
122	0.2804569914
123	0.2794190508
124	0.2776473915
125	0.2761330334
126	0.2742631838
127	0.2731246496
128	0.2715188151
129	0.2708235677
130	0.269980806
131	0.2691239489
132	0.2673510308
133	0.2664916751
134	0.265658412
135	0.2651666595
136	0.2637989574
137	0.2631006392
138	0.2618377649
139	0.2608429685
140	0.2600765198
141	0.2586248372
142	0.2579484915
143	0.2572670533
144	0.2565629939
145	0.2554185851
146	0.2544974123
147	0.2535023869
148	0.252884368
149	0.2520953744
150	0.2515277476
151	0.2507636259
152	0.249577942
153	0.248805962
154	0.248066979
155	0.2466570292
156	0.2459877026
157	0.2449439255
158	0.2442671221
159	0.2434869405
160	0.243050997
161	0.242319262
162	0.2415394618
